Chances,1x,2x,3x,4x,5x,6x,7x,8x,9x,10x
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,2,100,,,,,,,,
5,2,100,,,,,,,,
6,2,3,4,100,,,,,,
7,2,3,4,100,,,,,,
8,2,3,4,100,,,,,,
9,2,3,4,5,6,100,,,,
10,2,3,4,5,6,100,,,,
11,2,3,4,5,6,7,8,100,,
12,2,3,4,5,6,7,8,100,,
13,2,3,4,5,6,7,8,100,,
14,2,3,4,5,6,7,8,100,,
15,2,3,4,5,6,7,8,100,,
16,2,3,4,5,6,7,8,9,10,100
17,2,3,4,5,6,7,8,9,10,100
18,2,3,4,5,6,7,8,9,10,100
19,2,3,4,5,6,7,8,9,10,100
20,2,3,4,5,6,7,8,9,10,100
,,,,,,,,,,
Level 125,Success Rate,Att,Def Pen,Gold,Sealed Power: Fragments,Superior Enhancement Elixir,Enhanced New Era Ore,Enhanced New Era Leather,Enhanced New Era Cloth,
1,100,16,7,"16,000",4,2,,4,,
2,100,32,13,"31,000",4,2,,4,,
3,100,48,20,"47,000",4,2,,4,,
4,90,64,26,"78,000",4,2,5,,,
5,90,80,33,"110,000",4,2,5,,,
6,80,96,39,"142,000",4,2,5,,,
7,70,112,46,"189,000",4,2,,,6,
8,60,128,52,"236,000",5,2,,,6,
9,55,144,59,"284,000",5,2,,,6,
10,50,160,65,"347,000",5,2,,7,,
11,45,176,72,"410,000",5,2,,7,,
12,40,192,78,"474,000",5,2,,7,,
13,35,208,85,"553,000",6,2,9,,,
14,30,224,91,"362,000",6,2,9,,,
15,25,240,98,"711,000",6,2,10,,,
16,20,256,104,"806,000",7,2,,,11,
17,15,272,111,"901,000",7,2,,,13,
18,10,288,117,"997,000",7,2,,,15,
19,7,304,124,"1,107,000",7,2,,17,,
20,3,320,130,"1,250,000",7,2,20,,,
,,,,,,,,,,
Level 120,Success Rate,Att,Def Pen,Gold,Sealed Power: Fragments,Superior Enhancement Elixir,Enhanced New Era Cloth,Enhanced New Era Leather,Enhanced New Era Ore,
1,100,15,6,"16,000",3,1,,3,,
2,100,30,11,"31,000",3,1,,3,,
3,100,45,17,"47,000",3,1,,3,,
4,90,60,22,"78,000",3,1,4,,,
5,90,75,28,"110,000",3,1,4,,,
6,80,90,33,"142,000",3,1,4,,,
7,70,105,39,"189,000",3,1,,,5,
8,60,120,44,"236,000",4,1,,,5,
9,55,135,50,"284,000",4,1,,,5,
10,50,150,55,"347,000",4,1,,6,,
11,45,165,61,"410,000",4,1,,6,,
12,40,180,66,"474,000",4,1,,6,,
13,35,195,72,"553,000",5,1,7,,,
14,30,210,77,"632,000",5,1,7,,,
15,25,225,83,"711,000",5,1,8,,,
16,20,240,88,"806,000",6,1,,,9,
17,15,255,94,"901,000",6,1,,,10,
18,10,270,99,"997,000",6,1,,,11,
19,7,285,105,"1,107,000",6,1,,13,,
20,3,300,110,"1,250,000",6,1,15,-,,
,,,,,,,,,,
Level 115,Success Rate,Att,Def Pen,Gold,Sealed Power: Fragments,Superior Enhancement Elixir,New Era Cloth,New Era Leather,New Era Ore,
1,100,14,4,"16,000",3,1,,5,,
2,100,28,9,"31,000",3,1,,5,,
3,100,42,13,"47,000",3,1,,5,,
4,90,56,18,"78,000",3,1,5,,,
5,90,70,22,"110,000",3,1,5,,,
6,80,84,27,"142,000",3,1,5,,,
7,70,98,31,"189,000",3,1,,,7,
8,60,112,36,"236,000",4,1,,,7,
9,55,126,40,"284,000",4,1,,,7,
10,50,140,45,"347,000",4,1,,9,,
11,45,154,49,"410,000",4,1,,9,,
