Item,Gold,Item 1,#,Item 2,#,Item 3,#,Item 4,#,Item 5,#,Item 6,#,Item 7,#,Item 8,#,Item 9,#,Item 10,#,Item 11,#
Ability Change,"3,000,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,Sealed Power: Fragments,450,,,,,,,,,,,,,,
Abyssal Crystal,"200,000",Abyssal Shard Grade 3,1,Uaithne Crystal,1,,,,,,,,,,,,,,,,,,
Beginner Eriu Gauntlets,"750,000",Eriu Gauntlets,1,Eriu Advancement Stone: Hand Armor,1,Esras' Essence,1,Eriu Fragment: Hand Armor,1,Unrelenting Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,1,,,,,,,,
Beginner Eriu Greaves,"750,000",Eriu Greaves,1,Eriu Advancement Stone: Leg Armor,1,Semias' Essence,1,Eriu Fragment: Leg Armor,1,Smooth Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,1,,,,,,,,
Beginner Eriu Helm,"750,000",Eriu Helm,1,Eriu Advancement Stone: Head Armor,1,Lucian's Essence,1,Eriu Fragment: Head Armor,1,Solid Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,1,,,,,,,,
Beginner Eriu Mail,"750,000",Eriu Mail,1,Eriu Advancement Stone: Chest Armor,1,Uscias' Essence,1,Eriu Fragment: Chest Armor,1,Robust Eriu Crystal,5,Premium Armor Enhancement Rune,1,Tarian Steel,1,,,,,,,,
Beginner Eriu Weapon,"1,500,000",Eriu Weapon,1,Eriu Advancement Stone: Weapon,1,Lucian's Essence,1,Eriu Fragment: Weapon,1,Keen Eriu Crystal,10,Premium Enhancement Rune,2,Tarian Steel,15,,,,,,,,
Beginner Uaithne Boots,"500,000",Uaithne Boots,1,Uaithne Advancement Stone: Feet Armor,1,Morgant's Essence,1,Uaithne Fragment: Feet Armor,1,Unrelenting Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,5,,,,,,,,
Beginner Uaithne Gauntlets,"500,000",Uaithne Gauntlets,1,Uaithne Advancement Stone: Hand Armor,1,Morgant's Essence,1,Uaithne Fragment: Hand Armor,1,Unrelenting Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,5,,,,,,,,
Beginner Uaithne Greaves,"500,000",Uaithne Greaves,1,Uaithne Advancement Stone: Leg Armor,1,Spinos' Essence,1,Uaithne Fragment: Leg Armor,1,Smooth Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,5,,,,,,,,
Beginner Uaithne Helm,"500,000",Uaithne Helm,1,Uaithne Advancement Stone: Head Armor,1,Sreng's Essence,1,Uaithne Fragment: Head Armor,1,Solid Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,5,,,,,,,,
Beginner Uaithne Mail,"500,000",Uaithne Mail,1,Uaithne Advancement Stone: Chest Armor,1,Gorbas' Essence,1,Uaithne Fragment: Chest Armor,1,Robust Uaithne Crystal,5,Premium Armor Enhancement Rune,1,Jardin Steel,5,,,,,,,,
Beginner Uaithne Weapon,"1,000,000",Uaithne Weapon,1,Uaithne Advancement Stone: Weapon,1,Sreng's Essence,1,Uaithne Fragment: Weapon,1,Keen Uaithne Crystal,10,Premium Enhancement Rune,2,Jardin Steel,15,,,,,,,,
Enhanced New Era Cloth,"50,000",New Era Cloth,1,Uaithne Remnant,1,,,,,,,,,,,,,,,,,,
Enhanced New Era Leather,"50,000",New Era Leather,1,Uaithne Remnant,1,,,,,,,,,,,,,,,,,,
Enhanced New Era Orb,"50,000",New Era Orb,1,Uaithne Remnant,1,,,,,,,,,,,,,,,,,,
Enhanced New Era Ore,"50,000",New Era Ore,1,Uaithne Remnant,1,,,,,,,,,,,,,,,,,,
Enhancement Rune,"700,000",Unstable Enhancement Rune,2,Unknowable Power: Fragments,3,,,,,,,,,,,,,,,,,,
Eriu Advancement Stone: Chest Armor,,Eriu Fragment: Chest Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,15,Sealed Power: Fragments,150,Inherited Power: Fragments,150,,,,,,,,,,,,
Eriu Advancement Stone: Hand Armor,,Eriu Fragment: Hand Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,15,Sealed Power: Fragments,150,Inherited Power: Fragments,150,,,,,,,,,,,,
Eriu Advancement Stone: Head Armor,,Eriu Fragment: Head Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,15,Sealed Power: Fragments,150,Inherited Power: Fragments,150,,,,,,,,,,,,
Eriu Advancement Stone: Leg Armor,,Eriu Fragment: Leg Armor,1,Goibhniu's Enhancement Stone,3,Superior Enhancement Elixir,15,Sealed Power: Fragments,150,Inherited Power: Fragments,150,,,,,,,,,,,,
Eriu Advancement Stone: Weapon,,Eriu Fragment: Weapon,1,Goibhniu's Stone+,2,Superior Enhancement Elixir,20,Sealed Power: Fragments,150,Inherited Power: Fragments,150,,,,,,,,,,,,
