Enchant,Slot,Level,P/S,R,Att,Def,Crit,Crit Res,Add Dmg,Bal,Att Spd,Dest,HP,Stm,Family,Effect
Amplified,Artifact,115,P,3,700,,2,,50,2,5,,,,Art Crit Dmg,+27 Crit Dmg
Cyclical,Artifact,115,P,3,700,,2,,50,2,5,,,,Art SP Gain,Gain 400 SP
Escalating,Artifact,115,P,3,700,,2,,50,2,5,,,,Art Add Dmg,10% Add Dmg
Executing,Artifact,115,P,3,700,,2,,50,2,5,,,,Art Boss-HP Dmg,0-25% Dmg (Boss HP Scaling)
Indomitable,Artifact,115,P,3,700,,2,,50,2,5,,,,Art Super Armor,Super Armor and 50% Reduced Received Dmg
Withered,Belt,115,P,3,,,6,-3,,4,1,,,5,,
Eternal,Chest,115,P,3,,160,9,14,,-3,,,100,8,,
Steeping,Gloves & Boots,115,P,3,145,300,6,-1,,7,2,,,,,
Bountiful,Helm & Pants,115,P,3,245,200,3,11,,6,2,,,,,
Wandering,Rings,115,P,3,,,,5,,12,,,-450,,,
Hollow,Totem,115,P,3,,1000,4,8,,,1,,,,,
Tragic,Weapon,115,P,3,700,,8,,,4,8,,,,,
Reflection,Accessory,110,S,4,,500,,5,,1,,,,2,,
Tempestuous,Accessory,110,P,4,700,,-4,,,-4,5,,,,Acc AS,
Veiled,Accessory,110,P,4,700,,,7,,,1,,,,,
Wave,Accessory,110,S,4,300,,,3,,,,,,,Acc Stam Regen,+3 Stam/s
Advent,Artifact,110,S,4,450,,2,5,,2,,,,,,
Consume,Artifact,110,P,4,450,,,5,,,5,,,,Art Boss-HP Dmg,0-14% Dmg (Boss HP Scaling)
Destructive,Artifact,110,P,4,450,,,5,,,5,,,,Art Add Dmg,5% Add Dmg
Fading,Artifact,110,P,4,450,,,5,,,5,,,,Art SP Gain,Gain 200 SP
Impaling,Artifact,110,P,4,450,,,5,,,5,,,,Art Crit Dmg,15% Crit Dmg
Petrify,Artifact,110,P,4,450,,,5,,,5,,,,Art Super Armor,Super Armor and 50% Reduced Received Dmg
