Item,Type,P/S,Rank/Lvl,Stats
Abomination's Essence: Chest Armor,Material,,,
Abomination's Essence: Feet Armor,Material,,,
Abomination's Essence: Grand Targe,Material,,,
Abomination's Essence: Hand Armor,Material,,,
Abomination's Essence: Head Armor,Material,,,
Abomination's Essence: Large Shield,Material,,,
Abomination's Essence: Leg Armor,Material,,,
Abomination's Essence: Shield,Material,,,
Abomination's Essence: Weapon,Material,,,
Aes Sidhe's Essence,Material,,,
Ardri's Essence,Material,,,
Ardri's Essence: Chest Armor,Material,,,
Ardri's Essence: Feet Armor,Material,,,
Ardri's Essence: Hand Armor,Material,,,
Ardri's Essence: Head Armor,Material,,,
Ardri's Essence: Leg Armor,Material,,,
Ardri's Essence: Weapon,Material,,,
Astera's Essence: Chest Armor,Material,,,
Astera's Essence: Feet Armor,Material,,,
Astera's Essence: Hand Armor,Material,,,
Astera's Essence: Head Armor,Material,,,
Astera's Essence: Leg Armor,Material,,,
Astera's Essence: Weapon,Material,,,
Braha's Essence: Chest Armor,Material,,,
Braha's Essence: Feet Armor,Material,,,
Braha's Essence: Grand Targe,Material,,,
Braha's Essence: Hand Armor,Material,,,
Braha's Essence: Head Armor,Material,,,
Braha's Essence: Large Shield,Material,,,
Braha's Essence: Leg Armor,Material,,,
Braha's Essence: Shield,Material,,,
Braha's Essence: Weapon,Material,,,
Crescent Moon Announcement,Gear,,,
Crescent Moonlight Ring,Gear,,,
Dullahan's Essence,Material,,,
Dullahan's Essence: Chest Armor,Material,,,
Dullahan's Essence: Feet Armor,Material,,,
Dullahan's Essence: Grand Targe,Material,,,
Dullahan's Essence: Hand Armor,Material,,,
Dullahan's Essence: Head Armor,Material,,,
Dullahan's Essence: Large Shield,Material,,,
Dullahan's Essence: Leg Armor,Material,,,
Dullahan's Essence: Shield,Material,,,
Dullahan's Essence: Weapon,Material,,,
Enok's Essence,Material,,,
Evil Monster's Leather Belt,Gear,,,
Lugh Lamhfada's Essence: Feet Armor,Material,,,
Lugh Lamhfada's Essence: Grand Targe,Material,,,
Lugh Lamhfada's Essence: Hand Armor,Material,,,
Lugh Lamhfada's Essence: Leg Armor,Material,,,
Lugh Lamhfada's Essence: Shield,Material,,,
Mark of Friendship,Gear,,,
Melancholy Belt,Gear,,,
Milletian's Essence,Material,,,
Milletian's Essence: Armor,Material,,,
Milletian's Essence: Chest Armor,Material,,,
Milletian's Essence: Feet Armor,Material,,,
Milletian's Essence: Head Armor,Material,,,
Milletian's Essence: Leg Armor,Material,,,
Milletian's Essence: Weapon,Material,,,
Milo's Essence,Material,,,
Monark Leaf Ring,Gear,,,
Moonlight Sapphire Brooch,Gear,,,
Naberius's Essence,Material,,,
Keen Legacy Shard,Material,,,
Lightweight Legacy Shard,Material,,,
Perfect Legacy Shard,Material,,,
Smooth Legacy Shard,Material,,,
Solid Legacy Shard,Material,,,
Stable Legacy Shard,Material,,,
Keen Legendary Chunk,Material,,,
Lightweight Legendary Chunk,Material,,,
Perfect Legendary Chunk,Material,,,
Smooth Legendary Chunk,Material,,,
Solid Legendary Chunk,Material,,,
Stable Legendary Chunk,Material,,,
Keen Legendary Ore,Material,,,
Lightweight Legendary Ore,Material,,,
Perfect Legendary Ore,Material,,,
Smooth Legendary Ore,Material,,,
Solid Legendary Ore,Material,,,
Stable Legendary Ore,Material,,,
Keen Succession Shard,Material,,,
Lightweight Succession Shard,Material,,,
Perfect Succession Shard,Material,,,
Smooth Succession Shard,Material,,,
Solid Succession Shard,Material,,,
Stable Succession Shard,Material,,,
Ragnahim's Essence,Material,,,
Rainbow Belt,Gear,,,
Regina's Feather: Grand Targe,Material,,,
Regina's Feather: Head Armor,Material,,,
Regina's Feather: Large Shield,Material,,,
Regina's Feather: Leg Armor,Material,,,
Regina's Feather: Shield,Material,,,
Regina's Feather: Weapon,Material,,,
Selren's Essence,Material,,,
Spirit Research Volume,Gear,,,
Spirited Belt,Gear,,,
Terminus Sentinel Essence: Chest Armor,Material,,,
Terminus Sentinel Essence: Grand Targe,Material,,,
Terminus Sentinel Essence: Hand Armor,Material,,,
Terminus Sentinel Essence: Head Armor,Material,,,
Terminus Sentinel Essence: Large Shield,Material,,,
Terminus Sentinel Essence: Shield,Material,,,
Terminus Sentinel Essence: Weapon,Material,,,
Agonizing Enchant Scroll,Enchant,S,A,"ATT +10, M.ATT +10, DEF +20, HP -5"
Armadillo Enchant Scroll,Enchant,S,8,"DEF +336, Stamina +5, HP -100"
Brave Enchant Scroll,Enchant,P,A,Bal +1 (+1 more with Combat Mastery r6)
Challenging Enchant Scroll,Enchant,S,9,"ATT/M.ATT +180, Att Spd +1, Crit +1%, Bal +1 (lvl 68+)"
Chaos Enchant Scroll,Enchant,S,A,Chance to boost ATT/M.ATT on activation
Courageous Enchant Scroll,Enchant,S,A,"ATT/M.ATT +70, DEF +50, Bal +1"
Deadly Enchant Scroll,Enchant,S,8,"ATT/M.ATT -250, Crit +3%"
Decisive Enchant Scroll,Enchant,P,A,"Bal +1, ATT -40, Crit +3%"
Diamond Enchant Scroll,Enchant,S,9,"DEF +62, Crit Res +3%, HP -50"
Divine Punishment Enchant Scroll,Enchant,S,9,"M.ATT +677, Att Spd +1, Bal -2, Crit +2%"
Dominance Enchant Scroll,Enchant,S,9,"ATT/M.ATT +150, on attack: Bal +30 + stamina regen for 60s"
Enduring Enchant Scroll,Enchant,P,B,Stamina +8 (+7 more with Cloth Armor Prof rA)
Expeditionary Enchant Scroll,Enchant,S,7,"Crit Res +4%, DEF +280, ATT/M.ATT +170 (+35 on Heavy)"
Fleet Enchant Scroll,Enchant,P,9,"ATT/M.ATT +180, Att Spd +3"
Force Enchant Scroll,Enchant,S,9,"Bal +2, ATT +140, M.ATT +132, DEF -28"
Fresh Enchant Scroll,Enchant,P,7,"Att Spd +3, ATT/M.ATT +55"
Grinding Enchant Scroll,Enchant,P,9,"DEF +35, HP +50, Att Spd +1 (lvl 68+)"
Impending Enchant Scroll,Enchant,P,A,"Att Spd -1, ATT +320"
Leopard's Enchant Scroll,Enchant,P,9,"ATT/M.ATT -240, Att Spd +8, Bal +2"
Maelstrom Enchant Scroll,Enchant,S,9,"ATT +752, Crit +2%, Att Spd +1, Bal -2 (Crit rank 7+)"
Master Enchant Scroll,Enchant,S,A,"Bal -1, Crit +5%, Crit Res +5%"
Memorable Enchant Scroll,Enchant,P,7,"Crit +2%, Crit Res +2%, Bal +1, Att Spd +2, DEF +100 (+35 ATT on Heavy)"
Reinforced Enchant Scroll,Enchant,P,7,"Crit +1%, Crit Res -1%, Bal +2, Att Spd +2, DEF +150 (+35 ATT on Heavy)"
Resilient Enchant Scroll,Enchant,P,A,DEF +95 (+95 more with Shield Mastery r8)
Resistant Enchant Scroll,Enchant,S,8,"ATT -160, DEF +340, Crit Res +5%"
Sentinel Enchant Scroll,Enchant,S,9,"ATT -15, DEF +118 (+106 more with Willpower rA), Crit Res +2%"
Stigma Enchant Scroll,Enchant,S,7,"Crit +5%, Crit Res +7%, Bal -1, HP -80, DEF +70"
Striking Enchant Scroll,Enchant,S,A,"ATT/M.ATT +35, Att Spd +1"
Strong Enchant Scroll,Enchant,P,8,"STR +9, INT +9, Stamina +2"
Temporal Enchant Scroll,Enchant,P,7,"Crit +4%, Crit Res +6%, Bal -3, HP +50, DEF +160"
Tricky Enchant Scroll,Enchant,P,9,"DEF +145, Crit +1%, Crit Res -3%"
Tutelary Enchant Scroll,Enchant,P,A,"DEF +112, HP +50"
Warlord's Enchant Scroll,Enchant,P,9,"STR +6, INT +6, DEF +130"
Enhanced Enchant Scroll,Enchant,P,9,"For Longswords: Balance +1, Attack Speed +2, Attack Speed +3 (with Longsword Mastery r7), ATT -80, Critical Rate +1%"
Journeying Enchant Scroll,Enchant,S,A,"For Cloth/Light Armor - Head & Leg: Critical Rate +1%, Critical Resistance +3%, DEF +150, ATT +250, M. ATT +250, When enchanting on a Cloth Armor: ATT +35, When enchanting on a Cloth Armor: M. ATT +35"
Sage's Enchant Scroll,Enchant,P,A,"For Spell Books: INT +21, AGI -6"
Silent Enchant Scroll,Enchant,P,A,"For Cloth/Light Armor - Hand & Feet: Critical Rate +1%, Critical Resistance -2%, Balance +2, Attack Speed +2, DEF +150, ATT +110, M. ATT +110, When enchanting on a Cloth Armor: ATT +35, When enchanting on a Cloth Armor: M. ATT +35"
Seal Belt,Gear,,,
Regina's Feather: Feet Armor,Material,,,
Lugh Lamhfada's Essence: Large Shield,Material,,,
Lugh Lamhfada's Essence: Chest Armor,,,,
Lugh Lamhfada's Essence: Head Armor,,,,
Sage's Enchant Scroll,,,,
Terminus Sentinel Essence: Feet Armor,,,,
Terminus Sentinel Essence: Leg Armor,,,,
The Book of the Milletian,,,,
