Date,Item,Min
2026-06-09,Adamant Enchant Scroll,"1,000,000"
2026-06-09,Advance Enchant Scroll,"499,999"
2026-06-09,Advent Enchant Scroll,"19,000,000"
2026-06-09,Adversarial Enchant Scroll,"28,600,000"
2026-06-09,Agonizing Enchant Scroll,"5,000"
2026-06-09,Amplified Enchant Scroll,"29,000,000"
2026-06-09,Ancient Enchant Scroll,"7,999,999"
2026-06-09,Berserker Enchant Scroll,"50,000"
2026-06-09,Blessed Magic Elixir,"38,997"
2026-06-09,Bloodlust Enchant Scroll,"5,000,000"
2026-06-09,Bountiful Enchant Scroll,"38,400,000"
2026-06-09,Brutal Enchant Scroll,"3,000,000"
2026-06-09,Capture Enchant Scroll,"144,500"
2026-06-09,Challenging Enchant Scroll,"100,000"
2026-06-09,Chaos Enchant Scroll,"30,000"
2026-06-09,Chaotic Enchant Scroll,"1,999,999"
2026-06-09,Chaser's Enchant Scroll,"2,300,000"
2026-06-09,Clash Enchant Scroll,"5,100,000"
2026-06-09,Concentrated Enchant Scroll,"4,444,000"
2026-06-09,Concerted Enchant Scroll,"450,000"
2026-06-09,Consume Enchant Scroll,"7,350,536"
2026-06-09,Conviction Enchant Scroll,"250,000"
2026-06-09,Cool Enchant Scroll,"299,999"
2026-06-09,Dash Enchant Scroll,"100,000"
2026-06-09,Destructive Enchant Scroll,"1,000,000"
2026-06-09,Dignified Enchant Scroll,"1,750,000"
2026-06-09,Divine Punishment Enchant Scroll,"2,222,222"
2026-06-09,Enmity Enchant Scroll,"6,666,665"
2026-06-09,Enthusiastic Enchant Scroll,"1,500,000"
2026-06-09,Escalating Enchant Scroll,"30,000,000"
2026-06-09,Eternal Enchant Scroll,"27,000,000"
2026-06-09,Executing Enchant Scroll,"88,800,000"
2026-06-09,Expeditionary Enchant Scroll,"20,000"
2026-06-09,Fading Enchant Scroll,"150,000"
2026-06-09,Fate Enchant Scroll,"400,000,000"
2026-06-09,Fighting Spirit Enchant Scroll,"18,700,000"
2026-06-09,Fleet Enchant Scroll,"10,000"
2026-06-09,Forgotten Enchant Scroll,"4,000,000"
2026-06-09,Frenzy Enchant Scroll,"25,000,000"
2026-06-09,Heartless Enchant Scroll,"98,000"
2026-06-09,Hollow Enchant Scroll,"54,000,000"
2026-06-09,Immoral Enchant Scroll,"50,000"
2026-06-09,Impaling Enchant Scroll,"4,999,500"
2026-06-09,Indomitable Enchant Scroll,"22,999,999"
2026-06-09,Infinite Enchant Scroll,"350,000"
2026-06-09,Instant Enchant Scroll,"24,999,500"
2026-06-09,Irate Enchant Scroll,"6,800,000"
2026-06-09,Judgment Enchant Scroll,"9,999,500"
2026-06-09,Lament Enchant Scroll,"4,444,441"
2026-06-09,Madness Enchant Scroll,"1,900,000"
2026-06-09,Meditating Enchant Scroll,"300,000"
2026-06-09,Memorable Enchant Scroll,"50,000"
2026-06-09,Mystic Enchant Scroll,"53,996,738"
2026-06-09,Outburst Enchant Scroll,"449,999"
2026-06-09,Passion Enchant Scroll,"4,500,000"
2026-06-09,Peaceful Enchant Scroll,"200,000"
2026-06-09,Petite Enchant Scroll,"500,000"
2026-06-09,Petrify Enchant Scroll,"550,000"
2026-06-09,Praise Enchant Scroll,"35,000,000"
2026-06-09,Prophetic Enchant Scroll,"9,000,000"
2026-06-09,Raging Enchant Scroll,"749,999"
2026-06-09,Reflection Enchant Scroll,"30,000,000"
2026-06-09,Resolved Enchant Scroll,"495,000"
2026-06-09,Revenge Enchant Scroll,"5,000,000"
2026-06-09,Sealed Enchant Scroll,"150,000"
2026-06-09,Shrewd Enchant Scroll,"1,919,372"
2026-06-09,Solitude Enchant Scroll,"1,928,444"
2026-06-09,Sorrowful Enchant Scroll,"999,998"
2026-06-09,Soul Enchant Scroll,"1,000,000"
2026-06-09,Space Time Enchant Scroll,"175,000"
2026-06-09,Sparkling Enchant Scroll,"222,222"
2026-06-09,Special Dungeon: Enchant Pouch,"9,399,999"
2026-06-09,Spirited Enchant Scroll,"5,000,000"
2026-06-09,Stern Enchant Scroll,"5,500,000"
2026-06-09,Stigma Enchant Scroll,"19,000"
2026-06-09,Stylish Enchant Scroll,"17,000,616"
2026-06-09,Subdued Enchant Scroll,"500,000"
2026-06-09,Tempestuous Enchant Scroll,"15,000,000"
2026-06-09,The Dead Enchant Scroll,"200,000"
2026-06-09,Tragic Enchant Scroll,"42,000,000"
2026-06-09,Transcendent Enchant Scroll,"16,800,000"
2026-06-09,Trial Enchant Scroll,"27,000,000"
2026-06-09,Tricky Enchant Scroll,"5,000"
2026-06-09,Valor Enchant Scroll,"4,444,443"
2026-06-09,Vehement Enchant Scroll,"650,000"
2026-06-09,Veiled Enchant Scroll,"27,492,895"
2026-06-09,Victorious Enchant Scroll,"12,000,000"
2026-06-09,Wave Enchant Scroll,"40,000,000"
2026-06-09,Weeping Enchant Scroll,"99,999"
2026-06-09,Well-Balanced Enchant Scroll,"2,222,222"
2026-06-09,Wish Enchant Scroll,"487,500"
2026-06-09,Withered Enchant Scroll,"27,399,760"
2026-06-09,Charging Enchant Scroll,"1,000,000"
2026-06-09,Calm Enchant Scroll,100
2026-06-09,Significant Enchant Scroll,"3,333,333"
2026-06-09,Valor Enchant Scroll,"4,500,000"
2026-06-09,Abomination's Essence: Chest Armor,"555,800"
2026-06-09,Abomination's Essence: Grand Targe,"555,800"
2026-06-09,Abomination's Essence: Large Shield,"55,799"
2026-06-09,Abomination's Essence: Leg Armor,"734,000"
2026-06-09,Ardri's Essence: Chest Armor,"1,849,999"
2026-06-09,Ardri's Essence: Feet Armor,"1,299,999"
2026-06-09,Ardri's Essence: Hand Armor,"1,700,000"
2026-06-09,Ardri's Essence: Head Armor,"1,500,000"
2026-06-09,Ardri's Essence: Leg Armor,"1,699,997"
2026-06-09,Ardri's Essence: Weapon,"1,599,998"
2026-06-09,Astera's Essence: Chest Armor,"555,000"
2026-06-09,Astera's Essence: Feet Armor,"5,000,000"
2026-06-09,Astera's Essence: Hand Armor,"555,800"
2026-06-09,Astera's Essence: Head Armor,"4,000,000"
2026-06-09,Astera's Essence: Leg Armor,"375,900"
2026-06-09,Astera's Essence: Weapon,"200,000"
2026-06-09,Braha's Essence: Chest Armor,"200,000"
2026-06-09,Braha's Essence: Hand Armor,"200,000"
2026-06-09,Braha's Essence: Head Armor,"150,000"
2026-06-09,Braha's Essence: Shield,"140,000"
2026-06-09,Braha's Essence: Weapon,"5,000,000"
2026-06-09,Bres's Moonlight Essence,"8,400,000"
2026-06-09,Bres's Shadow Essence,"4,000,000"
2026-06-09,Dullahan's Essence: Chest Armor,"555,800"
2026-06-09,Dullahan's Essence: Feet Armor,"444,800"
2026-06-09,Dullahan's Essence: Grand Targe,"555,800"
2026-06-09,Dullahan's Essence: Hand Armor,"444,800"
2026-06-09,Dullahan's Essence: Head Armor,"550,000"
2026-06-09,Dullahan's Essence: Large Shield,"500,000"
2026-06-09,Dullahan's Essence: Leg Armor,"175,950"
2026-06-09,Dullahan's Essence: Shield,"555,000"
2026-06-09,Dullahan's Essence: Weapon,"2,255,800"
2026-06-09,Emmett's Essence,"4,000,000"
2026-06-09,Enok's Essence,"2,999,800"
2026-06-09,Eriu Fragment: Chest Armor,"3,313,375"
2026-06-09,Eriu Fragment: Head Armor,"3,000,000"
2026-06-09,Eriu Fragment: Leg Armor,"3,653,215"
2026-06-09,Eriu Fragment: Roots of Abundance,"10,000,000"
2026-06-09,Eriu Fragment: Starlight Belt,"5,900,000"
2026-06-09,Eriu Fragment: Weapon,"3,309,262"
2026-06-09,Jarnir's Essence,"4,900,000"
2026-06-09,Keen Eriu Crystal,"1,499,998"
2026-06-09,Keen Legacy Shard,"700,000"
2026-06-09,Keen Legendary Chunk,"555,800"
2026-06-09,Keen Legendary Ore,"5,000,000"
2026-06-09,Keen Succession Ore,"999,999"
2026-06-09,Keen Succession Shard,"244,444"
2026-06-09,Keen Uaithne Crystal,"3,000,000"
2026-06-09,Lightweight Eriu Crystal,"810,000"
