Raid,Item
Esras,Esras' Essence
Esras,Uaithne Crystal
Esras,Tarian Steel
Esras,Eriu Fragment: Yoke of Mortality
Esras,Eriu Fragment: Weapon
Esras,Eriu Fragment: Hand Armor
Esras,Stable Eriu Crystal
Esras,Perfect Eriu Crystal
Esras,Unrelenting Eriu Crystal
Esras,Steeping Enchant Scroll
Esras,Wandering Enchant Scroll
Esras,Superior Enhancement Elixir
Uscias,Uaithne Crystal
Uscias,Uscias' Essence
Uscias,Eriu Fragment: Starlight Belt
Uscias,Eriu Fragment: Weapon
Uscias,Eriu Fragment: Chest Armor
Uscias,Lightweight Eriu Crystal
Uscias,Stable Eriu Crystal
Uscias,Robust Eriu Crystal
Uscias,Eternal Enchant Scroll
Uscias,Withered Enchant Scroll
Semias,Uaithne Crystal
Semias,Semias' Essence
Semias,Eriu Fragment: Roots of Abundance
Semias,Eriu Fragment: Weapon
Semias,Eriu Fragment: Leg Armor
Semias,Keen Eriu Crystal
Semias,Lightweight Eriu Crystal
Semias,Smooth Eriu Crystal
Semias,Bountiful Enchant Scroll
Semias,Tempestuous Enchant Scroll
Lucian,Uaithne Crystal
Lucian,Lucian's Essence
Lucian,Eriu Fragment: Auxiliary Equipment
Lucian,Eriu Fragment: Weapon
Lucian,Eriu Fragment: Head Armor
Lucian,Keen Eriu Crystal
Lucian,Solid Eriu Crystal
Lucian,Tragic Enchant Scroll
Lucian,Hollow Enchant Scroll
Morgant,Uaithne Crystal
Morgant,Morgant's Essence
Morgant,Uaithne Fragment: Token of Silence
Morgant,Uaithne Fragment: Token of Quiet
Morgant,Uaithne Fragment: Weapon
Morgant,Uaithne Fragment: Hand Armor
Morgant,Uaithne Fragment: Feet Armor
Morgant,Stable Uaithne Crystal
Morgant,Perfect Uaithne Crystal
Morgant,Unrelenting Uaithne Crystal
Morgant,Solitude Enchant Scroll
Morgant,Veiled Enchant Scroll
Gorbas,Uaithne Crystal
Gorbas,Gorbas' Essence
Gorbas,Uaithne Fragment: The Cursed Belt
Gorbas,Uaithne Fragment: Weapon
Gorbas,Uaithne Fragment: Chest Armor
Gorbas,Lightweight Uaithne Crystal
Gorbas,Stable Uaithne Crystal
Gorbas,Robust Uaithne Crystal
Gorbas,Trial Enchant Scroll
Spinos,Uaithne Crystal
Spinos,Spinos' Essence
Spinos,Uaithne Fragment: The Sun's Wish
Spinos,Uaithne Fragment: Weapon
Spinos,Uaithne Fragment: Leg Armor
Spinos,Keen Uaithne Crystal
Spinos,Lightweight Uaithne Crystal
Spinos,Smooth Uaithne Crystal
Spinos,Reflection Enchant Scroll
Sreng,Uaithne Crystal
Sreng,Sreng's Essence
Sreng,Uaithne Fragment: Auxiliary Equipment
