Seal or Ticket,Total Coupons,Item,Contains,Cost,Stock,Count
Seal of Bravery,,Damascus Steel,,20,,1
Seal of Bravery,,Jardin Steel,,60,,1
Seal of Bravery,,Unstable Enhancement Rune,,100,1,1
Seal of Bravery,,Airtight Unstable Enchant Rune (x1),,235,1,1
Ardri Seal,,Rank 5 Enchant Scroll Destiny Box,Brutal Enchant Scroll | Enmity Enchant Scroll | Cool Enchant Scroll | Advance Enchant Scroll | Dignified Enchant Scroll | Lament Enchant Scroll | Sorrowful Enchant Scroll | Frenzy Enchant Scroll | Irate Enchant Scroll | Vehement Enchant Scroll | Chaser's Enchant Scroll | Raging Enchant Scroll | Madness Enchant Scroll,40,6,1
Uaithne Seal,,Superior Enhancement Elixir,,1,,4
Uaithne Seal,,Sreng's Essence,,3,,1
Uaithne Seal,,Spinos' Essence,,3,,1
Uaithne Seal,,Gorbas' Essence,,3,,1
Uaithne Seal,,Morgant's Essence,,2,,1
Uaithne Seal,,Uaithne Fragment: Weapon,,4,,1
Uaithne Seal,,Uaithne Fragment: Chest Armor,,4,,1
Uaithne Seal,,Uaithne Fragment: Feet Armor,,4,,1
Uaithne Seal,,Uaithne Fragment: Hand Armor,,4,,1
Uaithne Seal,,Uaithne Fragment: Head Armor,,4,,1
Uaithne Seal,,Uaithne Fragment: Leg Armor,,4,,1
Uaithne Seal,,Keen Uaithne Crystal,,1,,1
Uaithne Seal,,Lightweight Uaithne Crystal,,1,,1
Uaithne Seal,,Perfect Uaithne Crystal,,1,,1
Uaithne Seal,,Robust Uaithne Crystal,,1,,1
Uaithne Seal,,Smooth Uaithne Crystal,,1,,1
Uaithne Seal,,Solid Uaithne Crystal,,1,,1
Uaithne Seal,,Stable Uaithne Crystal,,1,,1
Uaithne Seal,,Unrelenting Uaithne Crystal,,1,,1
Eriu Seal,,Tarian Steel,,1,,1
Eriu Seal,,Lucian's Essence,,2,,1
Eriu Seal,,Semias' Essence,,2,,1
Eriu Seal,,Uscias' Essence,,2,,1
Eriu Seal,,Eriu Fragment: Weapon,,2,,1
Eriu Seal,,Eriu Fragment: Auxiliary Equipment,,2,,1
Eriu Seal,,Eriu Fragment: Head Armor,,2,,1
Eriu Seal,,Eriu Fragment: Leg Armor,,2,,1
Eriu Seal,,Eriu Fragment: Chest Armor,,2,,1
Eriu Seal,,Eriu Fragment: Roots of Abundance,,2,,1
Eriu Seal,,Eriu Fragment: Starlight Belt,,2,,1
Eriu Seal,,Keen Eriu Crystal,,1,,1
Eriu Seal,,Lightweight Eriu Crystal,,1,,1
Eriu Seal,,Stable Eriu Crystal,,1,,1
Eriu Seal,,Solid Eriu Crystal,,1,,1
Eriu Seal,,Smooth Eriu Crystal,,1,,1
Eriu Seal,,Robust Eriu Crystal,,1,,1
Eriu Seal,,Uaithne Seal,,1,,1
Eriu Seal,,Esras' Essence,,2,,1
Eriu Seal,,Eriu Fragment: Hand Armor,,2,,1
Eriu Seal,,Eriu Fragment: Yoke of Mortality,,2,,1
Eriu Seal,,Perfect Eriu Crystal,,1,,1
Eriu Seal,,Unrelenting Eriu Crystal,,1,,1
Monthly Mission Ticket,,Mysterious Shard Grade 3,,1,,1
Monthly Mission Ticket,,Abyssal Shard Grade 3,,1,,1
Monthly Mission Ticket,,Airtight Unstable Enchant Rune (x1),,6,1,1
Monthly Mission Ticket,,Premium Armor Enhancement Rune,,12,1,1
Everyday Vending Machine,240,Clone Outfit Crafting Box,,45,1,
