Set,Pieces,Att,Def,Crit,Crit Res,Add Dmg,Def Pen,Bal,Att Spd,Dest,HP,Stam,STR,AGI,INT,WIL
Orna,1,,,,,,,1,,,,,,,,
Orna,2,,,,,,,2,,,,,,,,
Orna,3,,415,,,,,3,,,370,5,95,,131,
Orna,4,,470,,,,,4,,,410,6,115,,158,
Orna,5,,525,,,,,6,,,450,7,135,,185,
Orna,6,,580,,,,,8,,,490,10,155,,209,
Uaithne,1,,,,,,,2,,,,,,,,
Uaithne,2,,,,,,,4,,,,,,,,
Uaithne,3,,450,,,,,5,,,370,5,95,,131,
Uaithne,4,,510,,,,,6,,,410,6,115,,158,
Uaithne,5,,570,,,,,8,,,450,7,135,,185,
Uaithne,6,,630,,,,,10,,,490,10,155,,209,
Eriu,1,,120,,,,,3,,,120,3,23,,32,
Eriu,2,,240,,,,,6,,,240,4,46,,65,
Eriu,3,,485,,,,,7,,,370,5,95,,131,
Eriu,4,,550,,,,,8,,,410,6,115,,158,
Eriu,5,,615,,,,,10,,,450,7,135,,185,
Eriu,6,,680,,,,,12,,,490,10,155,,209,
120 Rings,2,,,3,,,,,,,,,,,,
115 Rings,2,,,2,,,,,,,,,,,,
110 Rings,2,,,1,,,,,,,,,,,,
