Item,Stat,Step,MaxTune,Gold,Mat 1,#,Mat 2,#,Mat 3,#,Mat 4,#,Mat 5,#,Unlock
Orna Weapon,ATT/M. ATT,14,1078,"105,000",New Era Cloth,2,New Era Leather,2,New Era Ore,2,New Era Orb,3,,,0
Orna Weapon,ATT SPD,1,1,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Weapon,BAL,1,4,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Weapon,CRIT RTE,1,8,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Weapon,Dest I,50,5400,"700,000",Mysterious Shard Grade 3,3,New Era Ore,25,New Era Orb,20,,,,,1
Orna Helm,DEF,10,253,"105,000",New Era Cloth,2,New Era Leather,2,New Era Ore,2,New Era Orb,3,,,0
Orna Helm,CRIT RST,1,3,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Helm,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Orna Mail,DEF,10,246,"105,000",New Era Cloth,2,New Era Leather,2,New Era Ore,2,New Era Orb,3,,,0
Orna Mail,CRIT RST,1,5,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Mail,Dest I,14,1050,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Orna Greaves,DEF,10,234,"105,000",New Era Cloth,2,New Era Leather,2,New Era Ore,2,New Era Orb,3,,,0
Orna Greaves,CRIT RST,1,7,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Greaves,Dest I,14,1050,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Orna Gauntlets,DEF,10,253,"105,000",New Era Cloth,2,New Era Leather,2,New Era Ore,2,New Era Orb,3,,,0
Orna Gauntlets,CRIT RST,1,3,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Gauntlets,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Orna Boots,DEF,10,253,"105,000",New Era Cloth,2,New Era Leather,2,New Era Ore,2,New Era Orb,3,,,0
Orna Boots,CRIT RST,1,3,"2,100,000",New Era Cloth,20,New Era Leather,20,New Era Ore,20,New Era Orb,20,,,0
Orna Boots,Dest I,14,700,"280,000",Abyssal Shard Grade 3,1,New Era Cloth,12,New Era Leather,12,,,,,1
Uaithne Weapon,ATT/M. ATT,10,2000,"350,000",Enhanced New Era Cloth,3,Enhanced New Era Leather,3,Enhanced New Era Ore,3,Enhanced New Era Orb,3,Sealed Power: Fragments,25,0
Uaithne Weapon,BAL,1,4,"3,500,000",Enhanced New Era Cloth,14,Enhanced New Era Leather,14,Enhanced New Era Ore,14,Enhanced New Era Orb,14,Inherited Power: Fragments,200,0
